model,accuracy,precision,recall,confusion_matrix
XGBoost,0.7713797659802055,0.7338187894294625,0.78623814948936,"[[176419, 56074], [42029, 154587]]"
Random Forest,0.7289569782968895,0.7280948404651136,0.651910322659397,"[[184626, 47867], [68440, 128176]]"
Neural Network,0.7718062310508519,0.7375194932712116,0.7793363714041583,"[[177959, 54534], [43386, 153230]]"
