model,accuracy,precision,recall,confusion_matrix
XGBoost,0.7714007396722045,0.732350055657227,0.7896966676160638,"[[175748, 56745], [41349, 155267]]"
Random Forest,0.7366077150560814,0.712218453601966,0.7134210847540383,"[[175815, 56678], [56346, 140270]]"
Neural Network,0.7713028624428758,0.7380514972491612,0.7764525776132156,"[[178310, 54183], [43953, 152663]]"
