model,accuracy,precision,recall,confusion_matrix
XGBoost,0.7712772279304326,0.7318805427477428,0.7903629409610612,"[[175564, 56929], [41218, 155398]]"
Random Forest,0.7153147568566495,0.722000584408227,0.615784066403548,"[[185875, 46618], [75543, 121073]]"
Neural Network,0.7706899645544605,0.7318089771488182,0.7885065304959922,"[[175677, 56816], [41583, 155033]]"
